DIPPR ID,Cp_liq_298K,smiles,temperature,total_atoms,predicted,predicted_stddev
408,2045.2228384945497,C#CC(C)(C)C,298.15,6,23.414223,1.3584038
419,2382.333313598403,C#CC(C)C,298.15,5,22.675035,1.0216748
403,2544.879330126551,C#CCC,298.15,4,22.542479,0.96647394
405,2389.9586467189115,C#CCCC,298.15,5,26.230267,1.4035829
413,2316.66731757398,C#CCCCC,298.15,6,31.383121,1.6379462
2414,2266.2521538803107,C#CCCCCC,298.15,7,36.71908,2.70474
416,2227.9190715236987,C#CCCCCCC,298.15,8,41.699886,3.6682272
426,2228.168262844112,C#CCCCCCCC,298.15,9,47.310535,4.541503
427,2217.6849811088714,C#CCCCCCCCC,298.15,10,52.587093,5.3775725
1179,2595.085222408143,C#CCO,298.15,4,47.26758,5.273944
615,1754.870016821326,C#Cc1ccccc1,298.15,8,44.837055,4.306506
208,2154.5109427992734,C/C(=C\C(C)(C)C)CC(C)(C)C,298.15,12,47.747116,4.996843
225,2122.570854543942,C/C=C(/C)CC,298.15,6,30.849178,1.4507986
2226,2236.8341097398943,C/C=C(\C)CC,298.15,6,30.849178,1.4507986
228,2291.8665815228364,C/C=C/C(C)C,298.15,6,30.239132,1.096181
1036,2088.015674313456,C/C=C/C=O,298.15,5,38.931778,3.386786
211,2232.032350775736,C/C=C/CC,298.15,5,26.75312,0.88150036
218,2167.3805301897746,C/C=C/CCC,298.15,6,31.845345,1.3365389
236,2161.324036158833,C/C=C/CCCC,298.15,7,36.827045,1.9456829
251,2156.7975057856725,C/C=C/CCCCC,298.15,8,42.007034,2.7266297
245,2153.190554525059,C/C=C/CCCCCC,298.15,9,47.38791,3.5754194
3261,2150.3763423298897,C/C=C/CCCCCCC,298.15,10,52.231926,4.4687977
3263,2146.102223536984,C/C=C/CCCCCCCCC,298.15,12,60.349968,6.0049477
272,2138.5774918131547,C/C=C/CCCCCCCCCCCC,298.15,15,74.38055,8.345579
271,2137.59872736503,C/C=C/CCCCCCCCCCCCCCCCC,298.15,20,96.62241,12.83982
619,1716.7014200384538,C/C=C/c1ccccc1,298.15,9,49.11882,3.9883776
205,2272.412612370143,C/C=C\C,298.15,4,20.98616,0.6739553
1273,2298.8494142359405,C/C=C\C(=O)O,298.15,6,59.245136,8.017271
227,2196.779432948605,C/C=C\C(C)C,298.15,6,30.239132,1.096181
1035,2096.519336744469,C/C=C\C=O,298.15,5,38.931778,3.386786
210,2169.9778819477806,C/C=C\CC,298.15,5,26.75312,0.88150036
217,2118.4486720976874,C/C=C\CCC,298.15,6,31.845345,1.3365389
235,2089.614875043791,C/C=C\CCCC,298.15,7,36.827045,1.9456829
276,2147.371492457947,C/C=C\CCCCC,298.15,8,42.007034,2.7266297
244,2153.190554525059,C/C=C\CCCCCC,298.15,9,47.38791,3.5754194
3260,2150.3763423298897,C/C=C\CCCCCCC,298.15,10,52.231926,4.4687977
3262,2146.102223536984,C/C=C\CCCCCCCCC,298.15,12,60.349968,6.0049477
618,1632.085667578344,C/C=C\c1ccccc1,298.15,9,49.11882,3.9883776
343,1779.216736315646,C1=CC=CC=CC=C1,298.15,8,24.821157,4.6345954
315,1923.174342354197,C1=CCC=C1,298.15,5,26.832571,1.6875936
332,1830.6276579996072,C1=CCC=CC1,298.15,6,32.29577,10.1855545
269,1802.3462450538088,C1=CCCC1,298.15,5,28.517561,3.8987913
331,1790.957020400474,C1=CCCC=C1,298.15,6,32.3146,1.8551544
333,1922.3101327811555,C1=CCCC=CCC1,298.15,8,33.247604,8.980662
322,1763.3253987772027,C1=CCCC=CCCC=CCC1,298.15,12,33.247604,8.980663
270,1807.5034424052524,C1=CCCCC1,298.15,6,31.72061,2.5570536
1477,1760.1929978722908,C1=CCOC1,298.15,5,32.396763,1.6609055
2478,1756.4916481053217,C1=COCC1,298.15,5,31.048046,1.4098994
803,1611.7805355677383,C1=Cc2ccccc2C1,298.15,9,49.15196,5.450305
1467,1603.3787937727395,C1CC(C2CCOC2)CO1,298.15,10,58.673645,7.3810406
101,2123.5624717672986,C1CC1,298.15,3,55.76603,18.294306
155,1776.6894317080846,C1CCC(C2CCCCC2)CC1,298.15,12,54.488323,6.7565928
102,1954.359960110374,C1CCC1,298.15,4,55.766026,18.294308
104,1814.7637077021127,C1CCCC1,298.15,5,55.76602,18.294306
137,1840.7285260543315,C1CCCCC1,298.15,6,55.76603,18.29431
159,1841.619992905423,C1CCCCCC1,298.15,7,55.766026,18.294308
160,1920.1938884109973,C1CCCCCCC1,298.15,8,55.76603,18.294308
1479,1719.9699216004922,C1CCOC1,298.15,5,44.44417,22.040176
1452,1727.3072287238242,C1CCOCC1,298.15,6,46.57728,21.189732
154,1658.015813895621,C1CC[C@H]2CCCC[C@@H]2C1,298.15,10,48.85263,6.369927
153,1682.6025456685763,C1CC[C@H]2CCCC[C@H]2C1,298.15,10,48.85263,6.369927
1443,1869.0646889341715,C1COC1,298.15,4,41.768665,22.862537
1421,1744.7487875048237,C1COCCO1,298.15,6,37.564426,25.464869
2422,1644.8604635784573,C1COCOC1,298.15,6,45.50945,16.033339
341,2217.634607101844,C=C(C)/C=C/C,298.15,6,32.31186,1.7459539
207,2337.7438376660657,C=C(C)C,298.15,4,19.62515,0.52937317
1278,1867.105833813354,C=C(C)C(=O)O,298.15,6,54.89596,7.1950946
1351,1896.41423957212,C=C(C)C(=O)OC,298.15,7,38.543198,2.1369534
3899,1866.9628809252545,C=C(C)C(=O)OC(C)(C)C,298.15,10,46.293037,3.9877067
1389,1967.3095027846043,C=C(C)C(=O)OCCCC,298.15,10,50.352146,4.0167527
2353,2019.258414347696,C=C(C)C(=O)OCCCCCCCCCCCCCCCC,298.15,22,100.04014,13.4258585
2873,2313.022869392472,C=C(C)C(=O)OCCO,298.15,9,61.489506,7.496399
2874,1510.7907799967336,C=C(C)C(=O)OCCOC(=O)CC(C)=O,298.15,15,82.0438,11.345549
248,2250.2400664552274,C=C(C)C(C)(C)C,298.15,7,30.86868,1.6864384
230,2226.5813975210185,C=C(C)C(C)C,298.15,6,28.243542,1.0191172
289,2207.81821133516,C=C(C)C(C)CCC,298.15,8,36.577854,2.4292307
290,1877.2344800143983,C=C(C)C1CC=C(C)CC1,298.15,10,51.053715,5.2841163
1037,1827.182751109074,C=C(C)C=O,298.15,5,32.27349,2.5758023
212,2244.3746132616056,C=C(C)CC,298.15,5,25.499872,0.62822235
256,2102.9834916831583,C=C(C)CC(C)(C)C,298.15,8,34.64794,1.9604985
221,2224.7175163205475,C=C(C)CCC,298.15,6,29.835234,0.8858105
2252,2052.9482787891616,C=C(C)CCCCC,298.15,8,39.44281,1.7171837
2251,2053.377476188361,C=C(C)CCCCCC,298.15,9,43.96773,2.608882
3258,2088.687182280096,C=C(C)CCCCCCC,298.15,10,48.554813,3.4642506
7853,2064.351176682396,C=C(C)OC(C)=O,298.15,7,38.136303,1.7088221
613,1714.6155151462951,C=C(C)c1ccccc1,298.15,9,45.952,3.363984
229,2137.431864846632,C=C(CC)CC,298.15,6,30.907927,1.1960639
233,1978.0118297744789,C=C(CC)CCC,298.15,7,34.687397,1.5743839
258,2020.463835832824,C=C(CC)CCCC,298.15,8,39.215546,2.536735
582,1724.369704716433,C=C(CC)c1ccccc1,298.15,10,48.847404,4.4667172
306,2192.936294508413,C=C/C=C/C,298.15,5,27.721127,1.0436286
340,2254.820229213677,C=C/C=C/CC,298.15,6,32.323875,1.5387973
305,2152.509622743732,C=C/C=C\C,298.15,5,27.721127,1.0436286
318,1897.6794820385064,C=C1C=CC(C(C)C)CC1,298.15,10,48.465973,4.069894
841,1626.9288799356211,C=C1CCC2CC1C2(C)C,298.15,10,42.64933,4.1622343
311,2238.410201005648,C=C=C(C)C,298.15,5,27.368885,1.230246
304,2103.202044317736,C=C=CCC,298.15,5,27.365505,1.2964383
202,2581.690265389416,C=CC,298.15,3,13.544442,0.38856363
309,2238.124365320164,C=CC(=C)C,298.15,5,25.20921,0.8929777
1277,2009.1326152446068,C=CC(=O)O,298.15,5,44.899612,5.2077627
1341,1879.9247608731664,C=CC(=O)OC,298.15,6,34.674038,1.9418088
2343,1843.479445004518,C=CC(=O)OC(C)C,298.15,8,39.220066,2.5217824
2389,1912.0013597270515,C=CC(=O)OC(C)CC,298.15,9,43.477604,3.7034311
1342,1737.958796962065,C=CC(=O)OCC,298.15,7,38.71026,2.17232
2384,1840.2477870681405,C=CC(=O)OCC(C)C,298.15,9,45.063137,3.685237
7850,1487.383612438377,C=CC(=O)OCC(C)O,298.15,9,57.608246,6.547456
1343,1906.5982423733549,C=CC(=O)OCCC,298.15,8,42.870613,2.846098
5899,1683.007513817969,C=CC(=O)OCCC(=O)O,298.15,10,77.484436,11.655031
3339,1705.1457600109889,C=CC(=O)OCCCCCCOC(=O)C=C,298.15,16,85.43719,11.489084
6883,2322.240479115318,C=CC(=O)OCCO,298.15,8,59.809757,7.3638153
231,2244.1634784240146,C=CC(C)(C)C,298.15,6,25.393347,0.7557812
213,2227.334696389435,C=CC(C)C,298.15,5,23.063063,0.5437883
321,2007.1509604275395,C=CC(C)C=C,298.15,6,26.899698,0.9542928
222,2299.545093246653,C=CC(C)CC,298.15,6,28.81259,0.84440005
3303,1666.3811710796545,C=CC(C)OC(C)=O,298.15,8,39.424664,2.3219123
3880,2062.4984084806665,C=CC(C)OCCO,298.15,8,53.084846,5.8999195
239,2196.992905744112,C=CC(CC)CC,298.15,7,33.534424,1.2958585
241,2187.557795036,C=CC(CC)CCC,298.15,8,37.491684,2.076106
3319,1657.5939721657255,C=CC(OC(C)=O)OC(C)=O,298.15,11,54.97291,5.4918623
2285,1740.700864266276,C=CC1CC=C(C)CC1,298.15,9,47.05273,4.392564
285,1851.9207771101087,C=CC1CC=CCC1,298.15,8,42.52763,4.078158
246,1863.5918022107155,C=CC1CCCCC1,298.15,8,40.233738,2.714828
3366,1677.0600628670206,C=CC1COC(=O)O1,298.15,8,70.784874,9.460707
303,2286.143704780018,C=CC=C,298.15,4,20.357779,0.48516667
1034,2161.4092214631155,C=CC=O,298.15,4,28.244818,1.635388
204,2287.738553466497,C=CCC,298.15,4,19.809229,0.35739625
223,2116.273636819685,C=CCC(C)C,298.15,6,28.668707,0.69466245
226,2146.9696786720315,C=CCC(C)CC,298.15,7,33.40792,1.4174093
242,2132.985433318393,C=CCC(C)CCC,298.15,8,38.472183,2.2160363
292,1789.857225730043,C=CCC1=CCCCC1,298.15,9,47.73565,5.159398
307,2159.1950975608643,C=CCC=C,298.15,5,24.776009,0.59376407
313,2122.576718202148,C=CCC=CC,298.15,6,31.076473,1.4720517
209,2215.374895708156,C=CCCC,298.15,5,25.145538,0.44880426
1056,2055.966170107368,C=CCCC(C)=O,298.15,7,41.627502,4.376576
2240,2032.85648552338,C=CCCC(C)C,298.15,7,33.574417,1.2373372
216,2175.367925196224,C=CCCCC,298.15,6,30.49804,0.70037043
268,2044.430346017236,C=CCCCC(C)C,298.15,8,38.9511,1.7391528
234,2158.413051608573,C=CCCCCC,298.15,7,35.539543,0.93705034
3251,2053.3650094894856,C=CCCCCC(C)C,298.15,9,44.22794,2.727553
250,2150.306587338893,C=CCCCCCC,298.15,8,40.84901,1.4681498
3259,2060.512041048916,C=CCCCCCC(C)C,298.15,10,49.088608,3.5992875
259,2137.538803399356,C=CCCCCCCC,298.15,9,45.606472,2.094143
342,2076.556809979838,C=CCCCCCCC=C,298.15,10,50.08684,3.7171965
260,2138.603060259739,C=CCCCCCCCC,298.15,10,50.168015,3.0667057
261,2137.625804437398,C=CCCCCCCCCC,298.15,11,54.77533,4.173005
262,2141.3381777090394,C=CCCCCCCCCCC,298.15,12,59.174805,5.117978
263,2154.066786154798,C=CCCCCCCCCCCC,298.15,13,64.45357,6.0371165
264,2155.3952160047925,C=CCCCCCCCCCCCC,298.15,14,69.15651,6.8617325
265,2153.3983764146387,C=CCCCCCCCCCCCCC,298.15,15,74.43191,7.673297
266,2166.31784585486,C=CCCCCCCCCCCCCCC,298.15,16,79.260765,8.417377
281,2154.5086161284607,C=CCCCCCCCCCCCCCCC,298.15,17,84.230255,9.483828
267,2163.3271755654378,C=CCCCCCCCCCCCCCCCC,298.15,18,88.65825,10.437951
283,2162.1966473596863,C=CCCCCCCCCCCCCCCCCC,298.15,19,92.62013,11.291637
1167,2593.226756023891,C=CCO,298.15,4,47.470497,3.9032278
