smiles,temperature,source,total_atoms,predicted,predicted_stddev
C#CCCCC,,DIPPR,6,33.785526,2.4153147
C#CCCCCC,,DIPPR,7,38.312252,3.518546
C#CCCCCCC,,DIPPR,8,42.325886,4.0292363
C#CCCCCCCC,,DIPPR,9,46.758083,4.193577
C#CCCCCCCCC,,DIPPR,10,51.309566,4.4996343
C#CCO,,DIPPR,4,46.805794,4.9175825
C#Cc1ccccc1,,DIPPR,8,44.560635,4.2385225
C/C=C(/C)CC,,DIPPR,6,33.493156,3.0633917
C/C=C(\C)CC,,DIPPR,6,33.49316,3.0633926
C/C=C/C(=O)O,,DIPPR,6,54.13755,5.45266
C/C=C/C=C/C,,DIPPR,6,35.95865,3.303846
C/C=C/C=O,,DIPPR,5,39.676735,3.9278402
C/C=C/CC,,DIPPR,5,30.618868,1.9793042
C/C=C/CCCC,,DIPPR,7,38.49351,2.8978667
C/C=C/CCCCC,,DIPPR,8,42.764774,3.203271
C/C=C/CCCCCC,,DIPPR,9,46.864594,3.22865
C/C=C/c1ccccc1,,DIPPR,9,47.45143,3.2998738
C/C=C\C(=O)O,,DIPPR,6,55.06191,5.6036777
C/C=C\C=C\C,,DIPPR,6,35.958652,3.3038473
C/C=C\C=O,,DIPPR,5,39.690323,3.9377885
C/C=C\CCCC,,DIPPR,7,38.561886,2.931682
C/C=C\CCCCC,,DIPPR,8,42.531094,3.059834
C/C=C\c1ccccc1,,DIPPR,9,47.737495,3.4328027
C1=CC2C3C=CC(C3)C2C1,,DIPPR,10,42.73387,4.072983
C1=CC2CCC1C2,,DIPPR,7,35.47103,4.4894323
C1=CC=CC=CC=C1,,DIPPR,8,24.799908,4.6488433
C1=CCC=CC1,,DIPPR,6,33.272404,9.759758
C1=CCCC1,,DIPPR,5,30.78819,3.6735063
C1=CCCC=C1,,DIPPR,6,33.760933,2.2410378
C1=CCCC=CCC1,,DIPPR,8,32.770504,9.008737
C1=CCCC=CCCC=CCC1,,DIPPR,12,29.726305,8.762789
C1=CCCCC1,,DIPPR,6,34.13072,2.9142723
C1=CCCCCC1,,DIPPR,7,38.9602,3.6739106
C1=CCCCCCC1,,DIPPR,8,42.67431,4.2801046
C1=CCOC1,,DIPPR,5,34.490776,2.2551503
C1=COCC1,,DIPPR,5,33.670147,2.0883627
C1=Cc2ccccc2C1,,DIPPR,9,47.611347,4.782959
C1C2CC3CC1CC(C2)C3,,DIPPR,10,17.39103,8.555554
C1CC2CCC1CC2,,DIPPR,8,40.79798,6.540004
C1CCC(C2CCCCC2)CC1,,DIPPR,12,51.363747,4.955812
C1CCCCC1,,DIPPR,6,57.359024,18.24892
C1CCCCCC1,,DIPPR,7,56.40123,18.275942
C1CCCCCCC1,,DIPPR,8,55.598347,18.298002
C1CCOC1,,DIPPR,5,46.039066,22.019094
C1CC[C@H]2CCCC[C@@H]2C1,,DIPPR,10,47.02692,5.321426
C1CC[C@H]2CCCC[C@H]2C1,,DIPPR,10,46.56533,5.0142107
C1COCCO1,,DIPPR,6,38.245506,25.444344
C1COCOC1,,DIPPR,6,45.77083,16.03224
C1OCOCO1,,DIPPR,6,42.616886,10.474744
C=C(C)/C=C/C,,DIPPR,6,34.4648,3.1882205
C=C(C)C,,DIPPR,4,25.022867,0.7473459
C=C(C)C(=C)C,,DIPPR,6,33.814587,3.3984256
C=C(C)C(=O)O,,DIPPR,6,52.203297,5.305907
C=C(C)C(=O)OC,,DIPPR,7,39.417664,2.719387
C=C(C)C(=O)OC(C)(C)C,,DIPPR,10,46.16396,3.9011412
C=C(C)C(=O)OCC,,DIPPR,8,43.55027,3.105276
C=C(C)C(=O)OCC(C)C,,DIPPR,10,46.72154,3.2727485
C=C(C)C(=O)OCC(C)O,,DIPPR,10,53.545975,4.028205
C=C(C)C(=O)OCCC,,DIPPR,9,45.80875,3.014142
C=C(C)C(=O)OCCCC,,DIPPR,10,48.62004,2.8095193
C=C(C)C(=O)OCCO,,DIPPR,9,55.55411,4.6165605
C=C(C)C(=O)OCCOC(=O)CC(C)=O,,DIPPR,15,70.582634,6.304998
C=C(C)C(C)(C)C,,DIPPR,7,33.001976,2.7510548
C=C(C)C(C)=O,,DIPPR,6,37.944458,3.4809513
C=C(C)C(C)CCC,,DIPPR,8,37.473694,3.0376253
C=C(C)C1CC=C(C)CC1,,DIPPR,10,49.56916,4.2522845
C=C(C)C=O,,DIPPR,5,34.23213,4.0156927
C=C(C)CC(C)(C)C,,DIPPR,8,36.09196,2.9333863
C=C(C)CCC(=C)C,,DIPPR,8,37.13548,3.3715253
C=C(C)CCCC,,DIPPR,7,35.83474,1.3886124
C=C(C)CCCCC,,DIPPR,8,40.38786,2.1942506
C=C(C)CCCCCC,,DIPPR,9,44.062843,2.6572666
C=C(C)OC(C)=O,,DIPPR,7,39.086517,2.1318398
