,molecule_1,molecule_2,molecule_3,molecule_4,x1 [mol/mol],x2 [mol/mol],x3 [mol/mol],x4 [mol/mol],T [K],p_cosmo,p_ddb,p_cosmo_plus1K,hov_cosmo
0,CC(C)=O,CCOC(C)=O,---,---,0.0,1.0,0.0,0.0,332.55,54.61791138949035,53.33,56.678263400927364,34.15032472640297
1,CC(C)=O,CCOC(C)=O,---,---,0.0569,0.9431,0.0,0.0,330.15,53.068169466565806,53.33,55.08363650039038,33.8839786452281
2,CC(C)=O,CCOC(C)=O,---,---,0.0628,0.9372,0.0,0.0,330.05,53.1948400745894,53.33,55.21450534916686,33.85340765541168
3,CC(C)=O,CCOC(C)=O,---,---,0.1179,0.8821,0.0,0.0,328.33,52.7321780684415,53.33,54.740368628177826,33.60206191969579
4,CC(C)=O,CCOC(C)=O,---,---,0.2497,0.7503,0.0,0.0,324.85,52.327657349091226,53.33,54.33120154051913,33.06890484136792
5,CC(C)=O,CCOC(C)=O,---,---,0.2543,0.7457,0.0,0.0,324.75,52.34313343066957,53.33,54.34747045964221,33.051821126938655
6,CC(C)=O,CCOC(C)=O,---,---,0.3022,0.6978,0.0,0.0,323.65,52.342032014088616,53.33,54.34967605980869,32.8824725654541
7,CC(C)=O,CCOC(C)=O,---,---,0.3978,0.6022000000000001,0.0,0.0,321.55,52.29174112398664,53.33,54.305140128248766,32.57982131232791
8,CC(C)=O,CCOC(C)=O,---,---,0.6075,0.3924999999999999,0.0,0.0,317.55,52.439873521672126,53.33,54.47685336092471,32.05158349100375
9,CC(C)=O,CCOC(C)=O,---,---,0.7386,0.2613999999999999,0.0,0.0,315.35,52.58304159555478,53.33,54.638033832784,31.798747895741446
10,CC(C)=O,CCOC(C)=O,---,---,0.8528,0.1472,0.0,0.0,313.95,53.471005858086386,53.33,55.566888107291156,31.60902886134445
11,CC(C)=O,CCOC(C)=O,---,---,0.8668,0.1331999999999999,0.0,0.0,313.75,53.505271557287166,53.33,55.60383936009632,31.58865663135896
12,CC(C)=O,CCOC(C)=O,---,---,0.9468,0.0532,0.0,0.0,312.85,54.14002687882509,53.33,56.26813866985766,31.475414768793932
13,CC(C)=O,CCOC(C)=O,---,---,1.0,0.0,0.0,0.0,312.45,54.92578080246221,53.33,57.08532121251504,31.40284678887736
14,ClC(Cl)Cl,C1CCOC1,---,---,0.0,1.0,0.0,0.0,293.15,17.670649957309493,17.252,18.480777179446555,32.13848326939228
15,ClC(Cl)Cl,C1CCOC1,---,---,0.0499,0.9501,0.0,0.0,293.15,17.029070571981556,16.545,17.81294381884405,32.265675448177674
16,ClC(Cl)Cl,C1CCOC1,---,---,0.233,0.767,0.0,0.0,293.15,14.625066045866104,13.946,15.316010142972264,33.09615179096294
17,ClC(Cl)Cl,C1CCOC1,---,---,0.3114,0.6886,0.0,0.0,293.15,13.770564446999547,13.012,14.430999753126612,33.586239493880285
18,ClC(Cl)Cl,C1CCOC1,---,---,0.4061,0.5939,0.0,0.0,293.15,13.1012669657517,12.239,13.740049439292559,34.13155501924863
19,ClC(Cl)Cl,C1CCOC1,---,---,0.4731,0.5268999999999999,0.0,0.0,293.15,12.965045633260484,12.066,13.601593439982926,34.36389833053167
20,ClC(Cl)Cl,C1CCOC1,---,---,0.4922,0.5078,0.0,0.0,293.15,12.985976159147647,12.146,13.624117231884494,34.39366511781251
21,ClC(Cl)Cl,C1CCOC1,---,---,0.541,0.4589999999999999,0.0,0.0,293.15,13.166437027080743,12.386,13.81330322479015,34.3862500087047
22,ClC(Cl)Cl,C1CCOC1,---,---,0.6051,0.3949,0.0,0.0,293.15,13.679090381311484,13.026,14.347452813112731,34.20186027677388
23,ClC(Cl)Cl,C1CCOC1,---,---,0.6941,0.3058999999999999,0.0,0.0,293.15,14.851440378247233,14.572,15.566627774208484,33.720433937074795
24,ClC(Cl)Cl,C1CCOC1,---,---,0.828,0.172,0.0,0.0,293.15,17.250070185973176,17.239,18.06102537914468,32.9372187020126
25,ClC(Cl)Cl,C1CCOC1,---,---,0.9456,0.0544,0.0,0.0,293.15,19.465927081726843,19.945,20.368507770452265,32.49575265735107
26,ClC(Cl)Cl,C1CCOC1,---,---,1.0,0.0,0.0,0.0,293.15,20.403175074382936,21.025,21.34592355524378,32.38526509603634
27,ClC(Cl)Cl,C1CCOC1,---,---,0.0,1.0,0.0,0.0,303.15,27.24319418495893,26.838,28.397106729350575,31.80220449501851
28,ClC(Cl)Cl,C1CCOC1,---,---,0.0499,0.9501,0.0,0.0,303.15,26.300508987723994,25.771,27.41931312845151,31.936978747360243
29,ClC(Cl)Cl,C1CCOC1,---,---,0.233,0.767,0.0,0.0,303.15,22.843594484613103,21.958,23.84127889076503,32.77137422629291
30,ClC(Cl)Cl,C1CCOC1,---,---,0.3114,0.6886,0.0,0.0,303.15,21.64939698439646,20.638,22.60877346827202,33.2410837952933
31,ClC(Cl)Cl,C1CCOC1,---,---,0.4061,0.5939,0.0,0.0,303.15,20.744698505894448,19.572,21.67827466292167,33.74662126492555
32,ClC(Cl)Cl,C1CCOC1,---,---,0.4731,0.5268999999999999,0.0,0.0,303.15,20.59050040487303,19.345,21.5229609588092,33.95408594646827
33,ClC(Cl)Cl,C1CCOC1,---,---,0.4922,0.5078,0.0,0.0,303.15,20.63146755507743,19.452,21.566492095977523,33.979280252698324
34,ClC(Cl)Cl,C1CCOC1,---,---,0.541,0.4589999999999999,0.0,0.0,303.15,20.915471071348733,19.758,21.863023928904795,33.96725974146041
35,ClC(Cl)Cl,C1CCOC1,---,---,0.6051,0.3949,0.0,0.0,303.15,21.676912746192137,20.732,22.653787838820794,33.79218541502748
36,ClC(Cl)Cl,C1CCOC1,---,---,0.6941,0.3058999999999999,0.0,0.0,303.15,23.385952548078656,22.905,24.425415423166985,33.339399976967535
37,ClC(Cl)Cl,C1CCOC1,---,---,0.828,0.172,0.0,0.0,303.15,26.88121079499895,26.798,28.048410211039663,32.584822734471885
38,ClC(Cl)Cl,C1CCOC1,---,---,0.9456,0.0544,0.0,0.0,303.15,30.15284385139113,30.771,31.443843907292017,32.13986381169254
39,ClC(Cl)Cl,C1CCOC1,---,---,1.0,0.0,0.0,0.0,303.15,31.556198838871254,32.277,32.90226872713838,32.02302111658412
49,CCCCCC,CN1CCCC1=O,---,---,0.7372,0.2628,0.0,0.0,342.85,85.81868571192527,95.0,88.53608727255256,30.555856629833677
50,CCCCCC,CN1CCCC1=O,---,---,0.8016,0.1984,0.0,0.0,342.85,89.44188088271667,96.069,92.29095807609126,30.73588373472878
51,CCCCCC,CN1CCCC1=O,---,---,0.866,0.134,0.0,0.0,342.85,93.47822112039091,97.591,96.47007652050937,30.880223043752263
