,DDB index,molecule_1,molecule_2,molecule_3,molecule_4,x1 [mol/mol],x2 [mol/mol],x3 [mol/mol],x4 [mol/mol],T [K],p_cosmo,p_ddb,p_cosmo_plus1K,hov_cosmo,hov_baseline
0,0,CC(C)=O,CCOC(C)=O,---,---,0.0,1.0,0.0,0.0,332.55,54.61791138949035,53.33,56.67826340092736,34.15032472640297,34.125084
1,1,CC(C)=O,CCOC(C)=O,---,---,0.0569,0.9431,0.0,0.0,330.15,53.068169466565806,53.33,55.08363650039038,33.8839786452281,33.824994144600005
2,2,CC(C)=O,CCOC(C)=O,---,---,0.0628,0.9372,0.0,0.0,330.05,53.1948400745894,53.33,55.21450534916686,33.85340765541168,33.7831696236
3,3,CC(C)=O,CCOC(C)=O,---,---,0.1179,0.8821,0.0,0.0,328.33,52.7321780684415,53.33,54.74036862817783,33.60206191969579,33.4505156177
4,4,CC(C)=O,CCOC(C)=O,---,---,0.2497,0.7503,0.0,0.0,324.85,52.327657349091226,53.33,54.33120154051913,33.06890484136792,32.596186868299995
5,5,CC(C)=O,CCOC(C)=O,---,---,0.2543,0.7457,0.0,0.0,324.75,52.34313343066957,53.33,54.34747045964221,33.051821126938655,32.5646588874
6,6,CC(C)=O,CCOC(C)=O,---,---,0.3022,0.6978,0.0,0.0,323.65,52.342032014088616,53.33,54.34967605980869,32.8824725654541,32.2386709776
7,7,CC(C)=O,CCOC(C)=O,---,---,0.3978,0.6022000000000001,0.0,0.0,321.55,52.29174112398664,53.33,54.305140128248766,32.57982131232791,31.5746816328
8,8,CC(C)=O,CCOC(C)=O,---,---,0.6075,0.3924999999999999,0.0,0.0,317.55,52.439873521672126,53.33,54.47685336092471,32.05158349100375,30.059909607499996
9,9,CC(C)=O,CCOC(C)=O,---,---,0.7386,0.2613999999999999,0.0,0.0,315.35,52.58304159555478,53.33,54.638033832784,31.79874789574145,29.0820403082
10,10,CC(C)=O,CCOC(C)=O,---,---,0.8528,0.1472,0.0,0.0,313.95,53.47100585808639,53.33,55.56688810729116,31.60902886134445,28.196056726400002
11,11,CC(C)=O,CCOC(C)=O,---,---,0.8668,0.1331999999999999,0.0,0.0,313.75,53.505271557287166,53.33,55.60383936009632,31.58865663135896,28.088787763999996
12,12,CC(C)=O,CCOC(C)=O,---,---,0.9468,0.0532,0.0,0.0,312.85,54.14002687882509,53.33,56.26813866985766,31.47541476879393,27.4613358672
13,13,CC(C)=O,CCOC(C)=O,---,---,1.0,0.0,0.0,0.0,312.45,54.92578080246221,53.33,57.08532121251504,31.40284678887736,27.032488
49,70,CO,CCCCO,CCCCOC(C)=O,---,1.0,0.0,0.0,0.0,337.55,100.33019852768123,101.33,104.35991959680986,37.416338840432,21.215631
50,71,CO,CCCCO,CCCCOC(C)=O,---,0.0,1.0,0.0,0.0,390.87,102.28581871164334,101.33,105.9111652161744,44.35672546691952,41.5002
51,72,CO,CCCCO,CCCCOC(C)=O,---,0.0,0.0,1.0,0.0,399.12,101.67669539730908,101.33,104.6453653447369,38.21255763955551,36.065422
52,73,CO,CCCCO,CCCCOC(C)=O,---,0.582,0.197,0.221,0.0,346.45,97.5401222284126,101.33,101.277328445181,37.63073794304697,30.080232741
53,74,CO,CCCCO,CCCCOC(C)=O,---,0.139,0.656,0.2049999999999999,0.0,371.05,95.97880984373488,101.33,99.37914816523626,39.96085431055212,39.256982105
54,84,O,OCCO,---,---,0.88029,0.1197099999999999,0.0,0.0,374.65,95.63129583556264,101.33,99.07551514008505,41.402848439042586,40.08864426312999
55,85,O,OCCO,---,---,0.92391,0.0760899999999999,0.0,0.0,375.65,103.19343937285406,101.33,106.88628554210594,41.36274122374289,39.335797439859995
56,86,O,OCCO,---,---,0.96672,0.0332799999999999,0.0,0.0,373.65,99.96922088758866,101.33,103.58925085753312,41.40241087839113,38.83077002879999
57,87,CC(C)=O,O,CCCCOC(C)=O,---,0.64,0.16,0.1999999999999999,0.0,336.65,100.41434129399896,101.33,103.93669230329157,32.584444056841825,31.194418799999994
58,88,CC(C)=O,O,CCCCOC(C)=O,---,0.48,0.12,0.4,0.0,342.75,99.8781147661318,101.33,103.34175033023334,33.39599545387046,33.25145216
59,89,CC(C)=O,O,CCCCOC(C)=O,---,0.319,0.079,0.6020000000000001,0.0,351.35,103.67175096190893,101.33,107.18732083290588,34.326067835224535,35.069252639000005
60,90,CC(C)=O,O,CCCCOC(C)=O,---,0.159,0.036,0.8049999999999999,0.0,365.25,110.1462211086878,101.33,113.69224883120772,35.24339393884686,36.405543707
61,91,CC(C)=O,O,CCCCOC(C)=O,---,0.48,0.32,0.2,0.0,339.55,97.81592051351156,101.33,101.29626239659424,33.613912271576496,33.48026764
