Train/Valid/Test,HoV (kJ/mol),HoV_pred_lit,AE_lit,smiles,temperature,num_heavy_atoms,Error
Train,23.34,24.37,1.0300000000000011,CC=CC,276.87,4,0.01
Train,30.4,30.81,0.41000000000000014,CC1CCC(C)C1,364.88,7,0.01
Train,48.5,47.22,1.2800000000000011,CC1CCCCC1O,438.15,8,0.01
Train,53.0,47.22,5.780000000000001,CC1CCCCC1O,438.15,8,0.01
Train,33.47,33.55,0.0799999999999983,CC1CCCCC1C,396.58,8,0.01
Train,32.91,32.95,0.04000000000000625,CC1CCCC(C)C1,393.24,8,0.01
Train,33.28,33.79,0.509999999999998,CC1CCC(C)CC1,392.51,8,0.01
Train,41.0,40.39,0.6099999999999994,C1CCC2CCCCC2C1,460.46,10,0.01
Train,40.2,40.14,0.060000000000002274,C1CCC2CCCCC2C1,460.46,10,0.01
Train,13.53,12.72,0.8099999999999987,C=C,169.41,2,0.01
Train,25.76,26.69,0.9299999999999997,CC=O,294.15,3,0.01
Train,25.54,25.45,0.08999999999999986,C1CO1,283.6,3,0.01
Test,27.92,28.13,0.2099999999999973,COC=O,304.9,4,0.01
Train,14.69,14.54,0.15000000000000036,CC,184.55,2,0.01
Train,38.56,35.45,3.1099999999999994,CCO,351.44,3,0.01
Train,21.51,20.34,1.1700000000000017,COC,248.31,3,0.01
Test,50.5,53.21,2.710000000000001,OCCO,470.45,4,0.01
Train,28.3,28.14,0.16000000000000014,C=CC=O,325.84,4,0.01
Train,18.42,18.45,0.029999999999997584,C=CC,225.45,3,0.01
Train,20.05,19.42,0.629999999999999,C1CC1,240.37,3,0.01
Train,40.0,36.52,3.479999999999997,C=CCO,370.23,4,0.01
Train,28.31,28.75,0.4400000000000013,CCC=O,322.15,4,0.01
Train,29.1,29.52,0.41999999999999815,CC(C)=O,329.44,4,0.01
Train,27.35,26.01,1.3399999999999999,CC1CO1,307.65,4,0.01
Train,28.67,26.89,1.7800000000000011,C1COC1,321.0,4,0.01
Test,29.91,30.8,0.8900000000000006,CCOC=O,327.46,5,0.01
Train,30.32,32.11,1.7899999999999991,COC(C)=O,330.09,5,0.01
Train,19.04,18.17,0.8699999999999974,CCC,231.11,3,0.01
Test,41.44,38.14,3.299999999999997,CCCO,370.35,4,0.01
Train,39.85,36.45,3.3999999999999986,CC(C)O,355.3,4,0.01
Train,52.4,52.67,0.2700000000000031,CC(O)CO,460.75,5,0.01
Train,57.9,54.26,3.6400000000000006,OCCCO,487.55,5,0.01
Train,37.54,43.54,6.0,COCCO,397.6,5,0.01
Train,61.0,66.0,5.0,OCC(O)CO,550.0,6,0.01
Test,27.1,31.81,4.709999999999997,c1ccoc1,304.5,5,0.01
Train,36.8,38.35,1.5500000000000043,C=C1CC(=O)O1,399.2,6,0.01
Test,24.02,24.05,0.030000000000001137,C=C=CC,284.0,4,0.01
Test,22.47,22.5,0.030000000000001137,C=CC=C,268.74,4,0.01
Train,24.52,29.41,4.890000000000001,C#CCC,281.22,4,0.01
Train,34.6,34.51,0.09000000000000341,C=COC(C)=O,345.65,6,0.01
Train,33.1,33.27,0.1700000000000017,C=CC(=O)OC,353.35,6,0.01
Train,38.2,42.71,4.509999999999998,CC(=O)OC(C)=O,412.7,7,0.01
Train,22.07,22.74,0.6699999999999982,C=CCC,266.91,4,0.01
Train,22.72,24.55,1.8300000000000018,CC=CC,276.87,4,0.01
Train,24.19,24.8,0.6099999999999994,C1CCC1,285.66,4,0.01
Train,26.2,25.8,0.3999999999999986,C=COCC,308.7,5,0.01
Test,30.3,29.35,0.9499999999999993,CCC1CO1,336.574,5,0.01
