smiles,Tc,Train/Valid/Test
C=CC(OC(C)=O)C1CC=CCC1,,Train
C#CC(OC(C)=O)C1CC=CCC1,,Train
COc1ccc(C(C)=O)cc1,,Test
CCCCOC(C)(C)C,,Train
C=C(C)C=C(C)C,,Train
CC(C)=C=C(C)C,,Train
COc1ccc(C(=O)O)cc1,,Train
CC(C)c1ccc(C(C)C)cc1,,Valid
CCCCCCCCOCCO,,Train
CC(C)CCCCCCC(C)C,,Train
C=CC=CCCC,,Train
C=CC=CCCC=C,,Train
CCCCC#CCO,,Train
CCCCCCCCC(C)CC,,Train
CCC(OC(C)=O)C1CCCCC1C,,Test
C#CC(OC(C)=O)C1CC=CCC1C,,Train
CCCCCCCCCCCCCCC(=O)O,,Train
CCCC1CO1,,Train
CC1(C)CCCO1,,Train
CCCCCCC#CC(=O)OCC,,Train
CCC1(CC)CC1,,Test
CCC1CCCO1,,Train
CC1CCC(C)O1,,Train
CCC1(C)CCCO1,,Train
CC=C1CCCCC1,,Train
CCCC1=C(CCC)CCCC1,,Train
CCCCOC(=O)C(C)(CC)CCC,,Train
CCCCCCCCOC(=O)C(C)(C)O,,Train
CC(C)C(C)(O)C(C)(C)C(C)(C)C,,Train
C=CC1CC=CCC1,,Train
CCc1ccccc1,,Train
C=Cc1ccccc1,,Train
CCCCCC(CO)CCC,,Train
CCCCC1CCCO1,,Train
Cc1cc(=O)cc(C)o1,,Train
CCCc1ccc(C)c(CCC)c1,,Train
COc1c(C)cccc1C,,Train
OCC1CCCCC1,,Train
O=CC1CC=CCC1,,Train
OCc1ccccc1,,Train
CC12CCC(CC1)C2,,Train
O=Cc1ccccc1,,Train
CCC(C)(C)C(C)(C)CC(C)=O,,Test
CCC(C)(O)C(C)(C)C(C)(C)C,,Train
CCC(C)=CC(C)(CC)C(C)(C)C,,Train
CCCCC1=C(CCC)CCCC1,,Train
C1=CC2C3C=CC1C=CC23,,Train
C=COc1ccc(C)cc1,,Train
CC(C)CCC1CCCC1,,Train
COC(=O)c1ccc2ccccc2c1C(=O)OC,,Train
COC(=O)c1cccc2cccc(C(=O)OC)c12,,Train
CCc1cccc(CC)c1O,,Train
COc1ccccc1,,Train
OCC1CCCCO1,,Train
CC1=CC(C)C(C)c2ccc(C)cc21,,Valid
CC(C)(C)Cc1ccccc1,,Train
O=CC1CCC=CO1,,Train
C=Cc1ccc(CCCCCC)cc1,,Train
C=CC=CCc1ccccc1,,Train
CCC(C)CC(C)(CC)C(C)(C)C,,Train
CC(C)C(C)(C)CC(C)(C)C(C)C,,Train
CCCCC(C)(O)C(C)(C)C(C)(C)C,,Train
C=Cc1cccc(C)c1,,Train
CCC1CCCC2CCCCC12,,Valid
O=Cc1cccc(O)c1,,Train
COc1cccc(C)c1,,Train
CC(C)CC(C)(CC(C)C)CC(C)C,,Train
CCCC(C)(CC)C(C)(CC)CCC,,Train
CCCCC(CCC)(CCC)CCC,,Train
CCC(C)CCCCCC(C)CCCO,,Train
CCCCC(CC)COCCCCCCO,,Test
C=C(C=C(C)C)c1ccccc1,,Test
