smiles,logA_stoch_mean,logA_stoch_std,C_stoch_mean,C_stoch_std,B_stoch_mean,B_stoch_std,fail_count,n_data,kl_div_two_normal_dists,MAE_stoch,MAE_db_and_sampled_hov,logA_det,C_det,B_det,MAE_det
C,10.105,71.994,0.65,3.9,-55.3,754.3,30,3,0.003,7.8,0.2,1.244,0.21,171.6,0.0
C#C,1.813,93.469,0.0,5.08,200.6,52.4,0,13,0.015,6.32,0.19,2.729,0.02,-7059.9,3.4
C#CC,-0.024,40.679,0.16,2.25,279.6,323.0,2,14,0.008,14.66,1.64,1.24,0.36,401.6,0.17
C#CC#C,-0.005,25.597,-0.01,1.41,349.0,53.9,0,19,0.005,18.26,1.41,2.028,0.24,396.1,0.87
C#CC#CC,1.533,0.203,0.36,0.04,504.5,5.7,0,28,0.012,0.19,1.56,1.399,0.38,509.0,0.03
C#CC#CC#C,1.588,0.207,0.4,0.04,528.8,5.2,0,29,0.011,0.31,1.9,1.513,0.41,532.0,0.21
C#CC#CC#CC#C,1.592,0.239,0.41,0.04,674.4,4.7,0,23,0.012,0.54,2.48,1.526,0.43,677.0,0.46
C#CC#CC#CC#CC#C,1.53,0.194,0.42,0.04,733.3,5.2,0,26,0.014,0.35,2.38,1.441,0.43,737.0,0.21
C#CC#CC#CC#CC#CC#C,1.722,0.3,0.41,0.05,814.2,8.1,0,13,0.017,0.77,2.77,1.616,0.42,820.0,0.55
C#CC#CCC,1.553,0.196,0.39,0.04,547.3,4.3,0,31,0.015,0.37,1.9,1.447,0.41,550.0,0.24
C#CC(=C)C,1.467,0.224,0.35,0.04,473.9,4.6,0,27,0.011,0.12,1.41,1.385,0.36,475.8,0.03
C#CC(=O)OC,1.553,0.175,0.37,0.03,532.1,4.6,0,30,0.013,0.26,1.7,1.432,0.39,535.0,0.06
C#CC(=O)OCC,1.569,0.228,0.38,0.04,590.7,6.2,0,19,0.008,0.26,1.85,1.454,0.4,595.4,0.09
C#CC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)C#C)cc2)cc1,1.14,0.413,0.56,0.07,878.3,12.6,0,26,0.014,1.18,3.83,1.167,0.55,878.0,1.14
C#CC(=O)Oc1ccc(OC(=O)C#C)cc1,1.532,0.254,0.46,0.05,798.3,8.0,0,20,0.009,0.61,2.9,1.445,0.48,803.0,0.48
C#CC(=O)Oc1ccc(Oc2ccc(OC(=O)C#C)cc2)cc1,2.186,0.261,0.38,0.05,873.0,8.9,0,26,0.013,0.57,4.01,2.02,0.41,880.9,0.4
C#CC(=O)Oc1ccc2ccc(OC(=O)C#C)cc2c1,1.479,0.244,0.48,0.04,876.1,7.1,0,24,0.012,0.87,3.09,1.448,0.49,879.0,0.79
C#CC(=O)Oc1ccc2cccc(OC(=O)C#C)c2c1,1.445,0.189,0.49,0.03,875.9,5.8,0,26,0.015,0.77,3.28,1.382,0.5,879.0,0.67
C#CC(=O)Oc1cccc2c(OC(=O)C#C)cccc12,1.479,0.247,0.48,0.04,874.1,7.6,0,22,0.014,0.91,2.94,1.42,0.49,879.0,0.78
C#CC(C)(C)C,1.576,0.364,0.29,0.07,501.9,16.6,0,18,0.016,0.22,1.17,1.459,0.31,507.3,0.07
C#CC(C)(C)C#C,1.734,0.222,0.38,0.04,565.6,6.3,0,18,0.015,0.51,2.26,1.525,0.41,570.0,0.17
C#CC(C)(C)CC,1.594,0.238,0.32,0.05,542.1,6.1,0,31,0.011,0.14,1.37,1.494,0.33,544.5,0.08
C#CC(C)(C)CCC(C)(C)C#C,1.633,0.234,0.36,0.04,633.8,7.1,0,21,0.013,0.2,1.89,1.518,0.38,639.0,0.07
C#CC(C)(C)O,1.645,0.22,0.38,0.04,552.6,5.0,0,30,0.011,0.38,1.74,1.483,0.41,556.0,0.1
C#CC(C)(CC)CC,1.672,0.376,0.31,0.07,580.5,11.6,0,19,0.014,0.35,1.54,1.536,0.34,584.8,0.07
C#CC(C)(O)CC,1.612,0.24,0.38,0.05,571.7,6.3,0,18,0.007,0.35,2.04,1.489,0.4,576.0,0.17
C#CC(C)(O)CC(C)C,1.562,0.26,0.39,0.05,617.0,7.2,0,20,0.016,0.21,1.93,1.463,0.4,622.0,0.09
C#CC(C)(O)CCC,1.583,0.226,0.39,0.04,592.7,6.3,0,19,0.011,0.31,2.03,1.491,0.41,597.0,0.18
C#CC(C)(O)CCC=C(C)C,2.22,0.307,0.32,0.06,629.3,10.3,0,21,0.015,0.74,2.11,2.171,0.33,630.9,0.77
C#CC(C)(O)CCCC(C)C,1.597,0.205,0.42,0.04,655.2,4.7,0,22,0.009,0.54,2.51,1.567,0.42,658.0,0.48
C#CC(C)(O)CCCC(C)CCCC(C)C,3.609,0.09,0.04,0.02,712.5,16.7,0,30,0.01,1.84,0.94,3.619,0.03,722.0,1.07
C#CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,1.526,0.358,0.47,0.07,765.7,7.4,0,12,0.008,0.89,3.49,1.436,0.49,770.0,0.68
C#CC(C)(O)c1ccccc1,1.676,0.235,0.4,0.04,750.6,6.9,0,23,0.011,0.37,2.53,1.578,0.42,755.0,0.19
C#CC(C)=CCC,1.529,0.176,0.37,0.03,543.0,4.4,0,31,0.013,0.19,1.69,1.421,0.39,546.0,0.04
C#CC(C)C,1.663,0.345,0.28,0.07,480.5,14.6,0,27,0.011,0.23,1.23,1.556,0.31,483.4,0.12
C#CC(C)C(C)(O)CCCC(C)C,1.624,0.238,0.45,0.04,682.5,5.5,0,24,0.013,0.99,3.2,1.647,0.45,683.0,1.01
C#CC(C)CC,1.606,0.268,0.32,0.05,517.6,14.5,0,28,0.012,0.26,1.28,1.42,0.35,524.0,0.13
C#CC(C)O,1.551,0.159,0.37,0.03,553.0,3.4,0,32,0.009,0.24,1.79,1.473,0.39,555.0,0.08
C#CC(CC)CC,1.701,0.284,0.31,0.05,551.8,9.6,0,17,0.011,0.19,1.5,1.538,0.34,556.9,0.04
C#CC(O)(CC)CC,1.543,0.278,0.39,0.05,601.0,5.7,0,20,0.017,0.36,2.07,1.467,0.41,603.0,0.15
C#CC(O)C1CC=CCC1,1.688,0.249,0.44,0.05,688.8,5.0,0,24,0.01,0.93,3.14,1.683,0.44,691.0,0.79
C#CC(O)C1CC=CCC1C,1.874,0.54,0.41,0.09,670.7,28.4,0,22,0.016,0.98,5.13,1.464,0.48,683.8,0.56
C#CC(OC(C)=O)C1CC=CCC1,1.645,0.254,0.44,0.05,691.3,6.7,0,24,0.013,0.95,3.07,1.612,0.44,693.0,0.89
C#CC(OC(C)=O)C1CC=CCC1C,1.648,0.23,0.42,0.04,693.9,7.0,0,21,0.009,0.51,2.71,1.576,0.43,699.0,0.38
C#CC1(C#C)CC1,1.535,0.213,0.37,0.04,582.2,5.1,0,19,0.015,0.3,1.82,1.427,0.39,584.2,0.06
C#CC1(O)CCCCC1,1.721,0.226,0.37,0.04,683.4,6.7,0,21,0.014,0.42,2.12,1.568,0.39,689.0,0.08
C#CC1(OC(=O)c2ccc(C3CCCCC3)cc2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,1.441,0.347,0.55,0.06,983.1,6.1,0,12,0.011,1.63,4.76,1.462,0.54,985.0,1.7
C#CC1=CCCC1,1.634,0.258,0.35,0.05,613.5,8.1,0,20,0.011,0.18,1.78,1.53,0.37,617.9,0.07
C#CC1C=CCC1,1.608,0.302,0.35,0.06,567.3,9.5,0,18,0.011,0.19,1.71,1.47,0.38,572.7,0.04
C#CC1CCCC1,1.663,0.348,0.35,0.07,573.7,13.7,0,18,0.009,0.21,1.71,1.476,0.38,581.4,0.05
C#CC1CCCCC1,1.626,0.269,0.38,0.05,609.2,8.0,0,20,0.015,0.24,2.05,1.511,0.4,614.1,0.12
C#CC=C,1.434,0.125,0.34,0.02,444.6,3.6,0,25,0.011,0.07,0.74,1.373,0.35,446.2,0.03
C#CC=C1CC=CCC1,1.737,0.264,0.4,0.05,634.4,7.3,0,21,0.012,0.58,2.58,1.58,0.43,640.0,0.42
C#CC=C1CC=CCC1C,1.701,0.246,0.41,0.05,646.5,5.6,0,22,0.014,0.57,2.65,1.605,0.42,651.0,0.36
C#CC=CC,1.555,0.217,0.33,0.04,503.2,5.5,0,28,0.009,0.13,1.43,1.452,0.35,505.9,0.05
C#CC=CC=C,1.571,0.225,0.36,0.04,546.1,5.9,0,31,0.011,0.18,1.61,1.441,0.38,551.0,0.03
C#CC=Cc1ccccc1,1.642,0.186,0.41,0.03,748.1,4.4,0,27,0.013,0.56,2.63,1.601,0.41,751.0,0.45
C#CC=O,1.399,0.233,0.33,0.04,560.7,6.4,0,18,0.014,0.24,1.29,1.319,0.35,563.2,0.15
C#CCC,1.149,0.117,0.4,0.02,459.8,1.6,0,18,0.011,0.46,0.48,1.141,0.4,460.1,0.38
